reviewer,rating,written_date,title,review_text,branch
sid,5.0,"May 26, 2021","If someone wanna have some time away from the world, I can assure you that this place can easily make you feel this.","This place is just awesome. All the rides were intriguing, filled with thrill and adventure. Even the small shows were fantastic.",Universal Studios Singapore
Joachim Franzed M,4.0,"May 23, 2021",Excellent place!,Excellent place when you plan on going vacation with your family and friends if you want to make your trip exciting and spontaneous because there are a lot of activities that you can do here!,Universal Studios Singapore
Bian,5.0,"May 18, 2021",Universal Studios Singapore,"Universal Studios Singapore opened in 2010. It is part of the Resorts World Sentosa complex on Sentosa Island. I love that each themed zone has its own attractions, shopping, eating establishments and street entertainment. There were rides, street performances, live shows and movie characters. Some of these are available in other theme parks. My favorite is the Water World which showed incredible performances, it has stunt stars in action and a sound stage with special effects where you can experience a hurricane in New York. As well as the Shrek 4-D Adventure. This place is a great attraction to visit for family and friends. One day tour is not enough to experience all the fantastic rides inside Universal Studios Singapore. I rate this destination with 5 stars because I really enjoyed our tour and it never failed to amaze me.",Universal Studios Singapore
CCC,4.0,"May 13, 2021",Great place,Overall experience is good but queue still pretty long as required social distancing. Recommend to get the express ticket.,Universal Studios Singapore
Made John,5.0,"May 8, 2021",Good Place,"Good place for family experience,& easy acces and very entertaint place, very good universal studio keep it up.",Universal Studios Singapore
joyance,5.0,"April 25, 2021",Great family outing for a day,"Everywhere was very clean, safe distancing measures carried out very well. Without the tourist crowd, max queue time is 15mins and often no queue at all. Thankful for all the rides to be open, only closed door shows were not.",Universal Studios Singapore
DREXPRESS,5.0,"April 25, 2021",Great Attractions,Great place for young and older families Great attractions shows and restaurants diners  Something for everyone old young and very young. Get there early to beat the ques. Would recommend for everyone,Universal Studios Singapore
MuhdMikhail,4.0,"April 25, 2021","Great experience,bad incident with guest operations","Hi,I just want to say that i did enjot my time at Universal studious Singapore.I managed to take all the rides and had a very memorable day there with the rides. The food was great,atmosphere was good and all the rides had reasonable queue times. I just have one bad experience,mainly at the Far far away.Just as i alighted the Puss-in-Boots ride,and was heading out,i was walking out and a lot of people were walking out too.So I accidentally walked a bit out of line and wanted to walk out.Yes it’s my fault for that,however,one of the worker procceeded to stretch his arm out to my stomach and push me back to line. A simple warning or just telling me to get back would have been okay,but i feel like having contact like that,is not tolerable honestly.Luckily i kept my cool and just walked off,but i feel like the workers should be more patient and carry out their guest operations more calmly,not with physical contact.Yes,it was my fault rhat i walked out of line,but it was really minimal and didn’y deserve to get an arm to my stomach.I too noticed a worker at the Farfaraway dragon ride that shouted at another person because she was taking her time to walk up the stairs after the ride. Guest management should be better at the Farfaraway,and i hope this would go a long way. All the other attractions had excellent to good guest operations,and i really commend it. Would come again!",Universal Studios Singapore
Harald F,2.0,"April 12, 2021",Not worth it,"Many attractions closed, but still full price. No information about this when booking.  I dont think the estimated waiting time functions for the different attractions are correct. Because of covid, every second row of seats on rides are left unused. This doubles the waiting time estimated. Ended up waiting 1 hour + for rides lasting maybe a few minutes.",Universal Studios Singapore
Sam,1.0,"April 9, 2021",No,"On a non-holiday Friday, rides start @ 2pm and each ride has an estimated waiting time of 90mins, which means you are gonna spend 3 hours on the line for every 2 minutes worth of rides.  Food is terrible and overpriced, and it rained when I visited so most rides were closed. Pretty sure I will never ever visit again in my lifetime.",Universal Studios Singapore
Arnav G,5.0,"April 5, 2021",probably the best thing to do in Sg....,"It was a nice day spent in Universal Studios. none of the ride were broken and the shows were amazing. i understand that the queues are humongous, but it worth waiting. the ticket is not that expensive and the stores inside are up the mark too. i recommend the transformers ride, and the 2 main roller coasters (do them again if you get to!)  Best thing to do in singapore.",Universal Studios Singapore
Anastasia,5.0,"April 4, 2021",A DAY IN UNIVERSAL STUDIOS,"I love this place lol.At first,i think it was boring but it started to get more and more interesting later(somehow).I visited this place like 3 years ago.So i cant really rememver where i ate my hamburger and french fries which has chocolate sauce on(VERY DELICOUS AND HIGHLY RECOMMENDED).It has a wide selection of rides and food :O And this place is SO BIGGGGGGGGGGGGGGGGG! Im just in love with it :D.And also I has a lot of good experiences in this place!! I love it here.But it kinda expensive for me(but totally worth it) And also, the picture of the french fries is from the pinterest(bc i couldnt find my pic of that thing but i swear its really good!!!!)",Universal Studios Singapore
Ebin I,1.0,"March 19, 2021","Terrible. Didn't enjoy the day at all. Long queue, cancelled shows, broke down rides",Terrible. Did not enjoy a single moment.  Don't know why they say there is crowd control. Every ride has more queue than pre covid. Multiple rides broke down multiple times after queuing for hours. All shows are cancelled. All food items also need to queue hours. Hated the day. I thought on a weekday during covid with crowd control it is not bad like this. But boy I was wrong.,Universal Studios Singapore
Pilot Lover,5.0,"March 15, 2021",Great hangout place,"Walking around sentosa is very interesting and fun. los of game parks, restaurants, beach to chill n unwind. Going in daytime can be rather humid. But as sun down hits, the scene is just brilliant.",Universal Studios Singapore
Emmaxxo,5.0,"March 12, 2021",Loved it,Definitely would recommend to anyone any age. Many gaming facilities don’t need to wait in line for a long time. Even with COVID-19 measures all the rides were up and the lines were short. The roller coaster is a must! I love coming here with group of friends to get away from the stresses of life.,Universal Studios Singapore
James Jeremiah Soh,4.0,"February 28, 2021",Universal Studios Singapore Trip,"Glad I bought the S.E.A Aquarium package and Universal Studios Singapore which came with many discounts and vouchers (meal & retail).  Sadly I bought the tickets with hopes of going during the off-peak period of the weekdays as well as during my Stay-cation with the Fiancee, but Universal Studios Singapore is closed from Monday to Wednesday for cleaning due to Covid-19 precautions - so boys trip it was with the buddy as the Fiancee had to go back to work when the attraction is open.  Went in at 3:00 pm, which surprisingly wasn't too crowded on a Friday afternoon - longest waiting time was 30 minutes for Rapids Adventure™, but all in all, it was worth it. With some rides or attractions closed, it definitely means that you will be able to take most of the rides available at least once.  6:00 pm to 8:00 pm is the best time to walk around the attraction to snap photos while reminiscing travelling, so make use of the beautiful sunset and snap away!",Universal Studios Singapore
Bepus,3.0,"February 28, 2021",Nothing much for family with kids,"umm...... Totally understand a lot of limitation during this period. However, really not recommend for the family with kids who is below 3 years old. There is nothing much the child can take.",Universal Studios Singapore
M.T.A,4.0,"February 24, 2021","Not crowded, best visit so far",The place was not crowded due to crowd control. No waiting time for the rides and they ensure that safe distancing was enforced. Impressed with the promotions offered. We love madagascar. The merchandise is still pricey.,Universal Studios Singapore
Babeshark,5.0,"February 19, 2021",Game Town Universal Studios,"Singapore is known as a famous tourist city in ASEAN. There are many interesting things here that we should not miss. Some of the typical tourist destinations of Singapore City such as Merlion Park, Marina Bay, or Universal Studio. These are the places you should definitely visit when traveling to this city. Singapore City is also famous for many extremely attractive and varied dishes. Here, you can find all the specialties of Singapore, and you will not be disappointed in their taste. There are many night markets – food parlors. You should prepare a stomach and wallet to enjoy. The faction outside the city is also very beautiful with many tree and high-rise buildings . Many people like to picnic here to enjoy the fresh air. Singapore City is the place to have everything you want. This is a really Worth-living city!",Universal Studios Singapore
Alipali77,3.0,"February 17, 2021",Smaller than expected,Visited for the day and pre booked tickets luckily as the line was very long for entry. A lot smaller than expected and for the price entry was unexpected. The kids loved it nevertheless.,Universal Studios Singapore
