,Word,Entity
0,about forty minutes,TIME
1,2park,CARDINAL
2,nearly 2 hours,TIME
3,a full hour,TIME
4,two hours,TIME
5,horrible day,DATE
6,45 minutes,TIME
7,one,CARDINAL
8,5,CARDINAL
9,30 minutes,TIME
10,the day,DATE
11,3,CARDINAL
12,over 700 bucks,MONEY
13,all night,TIME
14,15 years,DATE
15,4th,ORDINAL
16,1822,DATE
17,1 hour,TIME
18,about 12,CARDINAL
19,3,CARDINAL
20,2,CARDINAL
21,4,CARDINAL
22,an hour,TIME
23,another 12 hour,TIME
24,only about 13,CARDINAL
25,the day,DATE
26,the same 1 hour,TIME
27,15 hours,TIME
28,one,CARDINAL
29,7 hours,TIME
30,first,ORDINAL
31,90 minutes,TIME
32,less any day,DATE
33,one day,DATE
34,two prior days,DATE
35,summer,DATE
36,6am,TIME
37,8am,TIME
38,2021,DATE
39,an hour,TIME
40,10min around 10301100,DATE
41,45 min by noon,QUANTITY
42,the day,DATE
43,hours,TIME
44,summer,DATE
45,4,CARDINAL
46,1,CARDINAL
47,day,DATE
48,15,CARDINAL
49,a minute,TIME
50,tons,TIME
51,years,DATE
52,two week,DATE
53,first,ORDINAL
54,7 nights,DATE
55,4 night,TIME
56,the day,DATE
57,five,CARDINAL
58,first,ORDINAL
59,1 and half hours,TIME
60,one another half hour,TIME
61,another half an hour,TIME
62,one,CARDINAL
63,15 to 20 minutes later,TIME
64,summer,DATE
65,5,CARDINAL
66,a week,DATE
67,3,CARDINAL
68,1 day,DATE
69,like and hour and 30 minutes,TIME
70,three,CARDINAL
71,1,CARDINAL
72,990,CARDINAL
73,2,CARDINAL
74,730,CARDINAL
75,two,CARDINAL
76,three days,DATE
77,three,CARDINAL
78,2,CARDINAL
79,3,CARDINAL
80,three,CARDINAL
81,one,CARDINAL
82,6,CARDINAL
83,3,CARDINAL
84,first,ORDINAL
85,two,CARDINAL
86,6454,CARDINAL
87,as low as 199,CARDINAL
88,26,CARDINAL
89,40 per day,DATE
90,the years,DATE
91,one,CARDINAL
92,1,CARDINAL
93,800,CARDINAL
94,one day,DATE
95,four,CARDINAL
96,six,CARDINAL
97,6,CARDINAL
98,days,DATE
99,today,DATE
100,today,DATE
101,today,DATE
102,summer,DATE
103,today,DATE
104,2,CARDINAL
105,11am,TIME
106,90,CARDINAL
107,four,CARDINAL
108,3,CARDINAL
109,two,CARDINAL
110,one,CARDINAL
111,today,DATE
112,two,CARDINAL
113,a whole week,DATE
114,two,CARDINAL
115,third,ORDINAL
116,first,ORDINAL
117,one,CARDINAL
118,45 minutes,TIME
119,one,CARDINAL
120,2,CARDINAL
121,around 8 pm,TIME
122,over an hour,TIME
123,7 pm,TIME
124,200,CARDINAL
125,170,CARDINAL
126,weekend,DATE
127,summer,DATE
128,3,CARDINAL
129,3 year old,DATE
130,another 1 hour,TIME
131,12 4,CARDINAL
132,the age of 11,DATE
133,145ticket,CARDINAL
134,a single day,DATE
135,292,CARDINAL
136,2,CARDINAL
137,half,CARDINAL
138,about 25 hours,TIME
139,half,CARDINAL
140,half,CARDINAL
141,60 minutes,TIME
142,hours,TIME
143,26,CARDINAL
144,first,ORDINAL
145,day one,DATE
146,the week,DATE
147,the week,DATE
148,hundreds,CARDINAL
149,hourly,TIME
150,3,CARDINAL
151,the next day,DATE
152,5,CARDINAL
153,3rd,ORDINAL
154,90 degrees,QUANTITY
155,70 minutes,TIME
156,850 hours,TIME
157,91 degrees,QUANTITY
158,about 75 miles,QUANTITY
159,the day,DATE
160,10,CARDINAL
161,thousands,CARDINAL
162,80,CARDINAL
163,249,CARDINAL
164,91 degree,QUANTITY
165,thousands,CARDINAL
166,7 days,DATE
167,3rd,ORDINAL
168,6,CARDINAL
169,hours,TIME
170,240,CARDINAL
171,same day,DATE
172,3 days,DATE
173,an hour,TIME
174,the day,DATE
175,all day,DATE
176,hour,TIME
177,2,CARDINAL
178,an hour,TIME
179,2,CARDINAL
180,20mins,CARDINAL
181,400,CARDINAL
182,2rides,CARDINAL
183,8hrs,CARDINAL
184,400 hundred dollars,MONEY
185,first,ORDINAL
186,75 minutes,TIME
187,one,CARDINAL
188,our day early,DATE
189,45 minutes,TIME
190,about 2,CARDINAL
191,100,CARDINAL
192,june 14,DATE
193,two,CARDINAL
194,2 hours,TIME
195,800000,CARDINAL
196,this morning,TIME
197,only 3,CARDINAL
198,3 days,DATE
199,this morning,TIME
200,wednesday,DATE
201,april 21st,DATE
202,wednesday,DATE
203,the middle of april,DATE
204,three,CARDINAL
205,4th,ORDINAL
206,30 minutes,TIME
207,170,CARDINAL
208,one,CARDINAL
209,all day,DATE
210,67,CARDINAL
211,240 omfg,CARDINAL
212,four,CARDINAL
213,700,CARDINAL
214,one,CARDINAL
215,960,CARDINAL
216,1660,DATE
217,four,CARDINAL
218,more than 1 hour,TIME
219,30 seconds,TIME
220,50,CARDINAL
221,six weeks ago,DATE
222,1,CARDINAL
223,2,CARDINAL
224,3,CARDINAL
225,2,CARDINAL
226,2,CARDINAL
227,4,CARDINAL
228,2,CARDINAL
229,15 hours,TIME
230,3,CARDINAL
231,almost an hour,TIME
232,5,CARDINAL
233,15,CARDINAL
234,6,CARDINAL
235,noon,TIME
236,8,CARDINAL
237,9,CARDINAL
238,3rd,ORDINAL
239,almost 3000,CARDINAL
240,orlando one hour,TIME
241,13,CARDINAL
242,days end,DATE
243,first,ORDINAL
244,1hour and 20 minutes,TIME
245,4,CARDINAL
246,4,CARDINAL
247,1,CARDINAL
248,2,CARDINAL
249,3,CARDINAL
250,4,CARDINAL
251,5,CARDINAL
252,3 day,DATE
253,930,CARDINAL
254,1000 am,TIME
255,3 day,DATE
256,2700,DATE
257,1000 am,TIME
258,1000,DATE
259,2,CARDINAL
260,110 minutes,TIME
261,almost 2 hours,TIME
262,almost 2 hours,TIME
263,7,CARDINAL
264,each day,DATE
265,4590 minutes,TIME
266,3,CARDINAL
267,407,CARDINAL
268,4,CARDINAL
269,40 minutes,TIME
270,30 minutes,TIME
271,15 minutes,TIME
272,5,CARDINAL
273,200,CARDINAL
274,the day,DATE
275,1100,DATE
276,400,CARDINAL
277,the hour,TIME
278,four days,DATE
279,thousands of dollars,MONEY
280,the hour,TIME
281,two,CARDINAL
282,five,CARDINAL
283,25 hours,TIME
284,4 day,DATE
285,50,CARDINAL
286,yesterday,DATE
287,41021,DATE
288,first,ORDINAL
289,our day,DATE
290,about 20 minutes,TIME
291,one,CARDINAL
292,about 10 minutes later,TIME
293,an hour and,TIME
294,the first week,DATE
295,april,DATE
296,3,CARDINAL
297,10 minutes,TIME
298,2,CARDINAL
299,492021,CARDINAL
300,6 feet,QUANTITY
301,1 hour and 52 minutes,TIME
302,2021,DATE
303,early in the morning,TIME
304,2,CARDINAL
305,2,CARDINAL
306,200,CARDINAL
307,four,CARDINAL
308,this same week,DATE
309,10x,CARDINAL
310,26,CARDINAL
311,3,CARDINAL
312,12,CARDINAL
313,5,CARDINAL
314,23rds,CARDINAL
315,10 am,TIME
316,930,CARDINAL
317,23 hour,TIME
318,one,CARDINAL
319,2,CARDINAL
320,8 hours,TIME
321,california,GPE
322,only one,CARDINAL
323,45 minutes,TIME
324,6 feet,QUANTITY
325,17,CARDINAL
326,1130,DATE
327,100,CARDINAL
328,4,CARDINAL
